video,audio,video_file,audio_file,user_id,Video,Audio,Congruent,ethnicity,notes,
1003_IEO_ANG_MD-converted.mp4,1003_TSI_FEA_XX.wav,../User/Stimuli/video/1003_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_FEA_XX.wav,1003,Anger,Fear,incongruent,Caucasian,,
1003_IEO_DIS_MD-converted.mp4,1003_TSI_HAP_XX.wav,../User/Stimuli/video/1003_IEO_DIS_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_HAP_XX.wav,1003,Disgust,Happiness,incongruent,Caucasian,,
1003_IEO_FEA_MD-converted.mp4,1003_TSI_SAD_XX.wav,../User/Stimuli/video/1003_IEO_FEA_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_SAD_XX.wav,1003,Fear,Sad,incongruent,Caucasian,,
1003_IEO_HAP_MD-converted.mp4,1003_TSI_ANG_XX.wav,../User/Stimuli/video/1003_IEO_HAP_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_ANG_XX.wav,1003,Happiness,Anger,incongruent,Caucasian,,
1003_IEO_SAD_MD-converted.mp4,1003_TSI_DIS_XX.wav,../User/Stimuli/video/1003_IEO_SAD_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_DIS_XX.wav,1003,Sad,Disgust,incongruent,Caucasian,,
1003_IEO_ANG_MD-converted.mp4,1003_TSI_ANG_XX.wav,../User/Stimuli/video/1003_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_ANG_XX.wav,1003,Anger,Anger,congruent,Caucasian,,
1003_IEO_DIS_MD-converted.mp4,1003_TSI_DIS_XX.wav,../User/Stimuli/video/1003_IEO_DIS_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_DIS_XX.wav,1003,Disgust,Disgust,congruent,Caucasian,,
1003_IEO_FEA_MD-converted.mp4,1003_TSI_FEA_XX.wav,../User/Stimuli/video/1003_IEO_FEA_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_FEA_XX.wav,1003,Fear,Fear,congruent,Caucasian,,
1003_IEO_HAP_MD-converted.mp4,1003_TSI_HAP_XX.wav,../User/Stimuli/video/1003_IEO_HAP_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_HAP_XX.wav,1003,Happiness,Happiness,congruent,Caucasian,,
1003_IEO_SAD_MD-converted.mp4,1003_TSI_SAD_XX.wav,../User/Stimuli/video/1003_IEO_SAD_MD-converted.mp4,../User/Stimuli/audio/1003_TSI_SAD_XX.wav,1003,Sad,Sad,congruent,Caucasian,,
1014_IEO_ANG_MD-converted.mp4,1014_TSI_HAP_XX.wav,../User/Stimuli/video/1014_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_HAP_XX.wav,1014,Anger,Happiness,incongruent,Caucasian,,
1014_IEO_DIS_MD-converted.mp4,1014_TSI_SAD_XX.wav,../User/Stimuli/video/1014_IEO_DIS_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_SAD_XX.wav,1014,Disgust,Sad,incongruent,Caucasian,,
1014_IEO_FEA_HI-converted.mp4,1014_TSI_ANG_XX.wav,../User/Stimuli/video/1014_IEO_FEA_HI-converted.mp4,../User/Stimuli/audio/1014_TSI_ANG_XX.wav,1014,Fear,Anger,incongruent,Caucasian,,
1014_IEO_HAP_MD-converted.mp4,1014_TSI_DIS_XX.wav,../User/Stimuli/video/1014_IEO_HAP_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_DIS_XX.wav,1014,Happiness,Disgust,incongruent,Caucasian,,
1014_IEO_SAD_MD-converted.mp4,1014_TSI_FEA_XX.wav,../User/Stimuli/video/1014_IEO_SAD_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_FEA_XX.wav,1014,Sad,Fear,incongruent,Caucasian,,
1014_IEO_ANG_MD-converted.mp4,1014_TSI_ANG_XX.wav,../User/Stimuli/video/1014_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_ANG_XX.wav,1014,Anger,Anger,congruent,Caucasian,,
1014_IEO_DIS_MD-converted.mp4,1014_TSI_DIS_XX.wav,../User/Stimuli/video/1014_IEO_DIS_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_DIS_XX.wav,1014,Disgust,Disgust,congruent,Caucasian,,
1014_IEO_FEA_HI-converted.mp4,1014_TSI_FEA_XX.wav,../User/Stimuli/video/1014_IEO_FEA_HI-converted.mp4,../User/Stimuli/audio/1014_TSI_FEA_XX.wav,1014,Fear,Fear,congruent,Caucasian,,
1014_IEO_HAP_MD-converted.mp4,1014_TSI_HAP_XX.wav,../User/Stimuli/video/1014_IEO_HAP_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_HAP_XX.wav,1014,Happiness,Happiness,congruent,Caucasian,,
1014_IEO_SAD_MD-converted.mp4,1014_TSI_SAD_XX.wav,../User/Stimuli/video/1014_IEO_SAD_MD-converted.mp4,../User/Stimuli/audio/1014_TSI_SAD_XX.wav,1014,Sad,Sad,congruent,Caucasian,,
1018_IEO_ANG_MD-converted.mp4,1018_TSI_SAD_XX.wav,../User/Stimuli/video/1018_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1018_TSI_SAD_XX.wav,1018,Anger,Sad,incongruent,hispanic,,
1018_IEO_DIS_HI-converted.mp4,1018_TSI_ANG_XX.wav,../User/Stimuli/video/1018_IEO_DIS_HI-converted.mp4,../User/Stimuli/audio/1018_TSI_ANG_XX.wav,1018,Disgust,Anger,incongruent,hispanic,,
1018_IEO_FEA_MD-converted.mp4,1018_TSI_DIS_XX.wav,"../User/Stimuli/video/
1018_IEO_FEA_MD-converted.mp4",../User/Stimuli/audio/1018_TSI_DIS_XX.wav,1018,Fear,Disgust,incongruent,hispanic,,
1018_IEO_HAP_HI-converted.mp4,1018_TSI_FEA_XX.wav,../User/Stimuli/video/1018_IEO_HAP_HI-converted.mp4,../User/Stimuli/audio/1018_TSI_FEA_XX.wav,1018,Happiness,Fear,incongruent,hispanic,,
"
1018_IEO_SAD_MD-converted.mp4",1018_TSI_HAP_XX.wav,"../User/Stimuli/video/
1018_IEO_SAD_MD-converted.mp4",../User/Stimuli/audio/1018_TSI_HAP_XX.wav,1018,Sad,Happiness,incongruent,hispanic,,
1018_IEO_ANG_MD-converted.mp4,1018_TSI_ANG_XX.wav,../User/Stimuli/video/1018_IEO_ANG_MD-converted.mp4,../User/Stimuli/audio/1018_TSI_ANG_XX.wav,1018,Anger,Anger,congruent,hispanic,,
1018_IEO_DIS_HI-converted.mp4,1018_TSI_DIS_XX.wav,../User/Stimuli/video/1018_IEO_DIS_HI-converted.mp4,../User/Stimuli/audio/1018_TSI_DIS_XX.wav,1018,Disgust,Disgust,congruent,hispanic,,
"
1018_IEO_FEA_MD-converted.mp4","
1018_TSI_FEA_XX.wav","../User/Stimuli/video/
1018_IEO_FEA_MD-converted.mp4",../User/Stimuli/audio/1018_TSI_FEA_XX.wav,1018,Fear,Fear,congruent,hispanic,,
1018_IEO_HAP_HI-converted.mp4,1018_TSI_HAP_XX.wav,../User/Stimuli/video/1018_IEO_HAP_HI-converted.mp4,../User/Stimuli/audio/1018_TSI_HAP_XX.wav,1018,Happiness,Happiness,congruent,hispanic,,
"
1018_IEO_SAD_MD-converted.mp4","
1018_TSI_SAD_XX.wav","../User/Stimuli/video/
1018_IEO_SAD_MD-converted.mp4",../User/Stimuli/audio/1018_TSI_SAD_XX.wav,1018,Sad,Sad,congruent,hispanic,,
1029_IEO_ANG_MD-converted.mp4,1029_TSI_DIS_XX.wav,../User/Stimuli/video/1029_IEO_ANG_MD.ogg,../User/Stimuli/audio/1029_TSI_DIS_XX.wav,1029,Anger,Disgust,incongruent,African american,,
1029_IEO_DIS_MD-converted.mp4,1029_TSI_FEA_XX.wav,../User/Stimuli/video/1029_IEO_DIS_MD-converted.mp4,../User/Stimuli/audio/1029_TSI_FEA_XX.wav,1029,Disgust,Fear,incongruent,African american,,
1029_IEO_FEA_MD-converted.mp4,1029_TSI_HAP_XX.wav,../User/Stimuli/video/1029_IEO_FEA_MD-converted.mp4,../User/Stimuli/audio/1029_TSI_HAP_XX.wav,1029,Fear,Happiness,incongruent,African american,,
