video,audio,video_file,audio_file,user_id,Video,Audio,Congruent,
1029_IEO_ANG_MD-converted.mp4,1029_TSI_DIS_XX.wav,../User/Stimuli/video/1029_IEO_ANG_MD.ogg,../User/Stimuli/1029_TSI_DIS_XX.wav,1029,Anger,Disgust,incongruent,
1003_IEO_ANG_MD-converted.mp4,1003_TSI_FEA_XX.wav,../User/Stimuli/video/1003_IEO_ANG_MD-converted.mp4,../User/Stimuli/1003_TSI_FEA_XX.wav,1003,Anger,Fear,incongruent,
1072_IEO_ANG_MD-converted.mp4,1072_TSI_HAP_XX.wav,../User/Stimuli/video/1072_IEO_ANG_MD-converted.mp4,../User/Stimuli/1072_TSI_HAP_XX.wav,1072,Anger,Happiness,incongruent,
1018_IEO_ANG_MD-converted.mp4,1018_TSI_SAD_XX.wav,../User/Stimuli/video/1018_IEO_ANG_MD-converted.mp4,../User/Stimuli/1018_TSI_SAD_XX.wav,1018,Anger,Sad,incongruent,
1018_IEO_DIS_HI-converted.mp4,1018_TSI_ANG_XX.wav,../User/Stimuli/video/1018_IEO_DIS_HI-converted.mp4,../User/Stimuli/1018_TSI_ANG_XX.wav,1018,Disgust,Anger,incongruent,
1029_IEO_DIS_MD-converted.mp4,1029_TSI_FEA_XX.wav,../User/Stimuli/video/1029_IEO_DIS_MD-converted.mp4,../User/Stimuli/1029_TSI_FEA_XX.wav,1029,Disgust,Fear,incongruent,
1003_IEO_DIS_MD-converted.mp4,1003_TSI_HAP_XX.wav,../User/Stimuli/video/1003_IEO_DIS_MD-converted.mp4,../User/Stimuli/1003_TSI_HAP_XX.wav,1003,Disgust,Happiness,incongruent,
1072_IEO_DIS_MD-converted.mp4,1072_TSI_SAD_XX.wav,../User/Stimuli/video/1072_IEO_DIS_MD-converted.mp4,../User/Stimuli/1072_TSI_SAD_XX.wav,1072,Disgust,Sad,incongruent,
1072_IEO_FEA_MD-converted.mp4,1072_TSI_ANG_XX.wav,../User/Stimuli/video/1072_IEO_FEA_MD-converted.mp4,../User/Stimuli/1072_TSI_ANG_XX.wav,1072,Fear,Anger,incongruent,
1018_IEO_FEA_MD-converted.mp4,1018_TSI_DIS_XX.wav,"../User/Stimuli/video/
1018_IEO_FEA_MD-converted.mp4",../User/Stimuli/1018_TSI_DIS_XX.wav,1018,Fear,Disgust,incongruent,
