item_name,text,type,answers,values,optional,btn_width,notes,score:compliance_belief,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,instruct,,,,,,,
CB1,I believe that hand washing is helpful to prevent myself from COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB2,I believe that social distancing is helpful for me to prevent myself from COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB3,I believe that social-distancing is helpful for me to prevent  COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB4,I believe that avoiding over-crowded places is helpful to prevent COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB5,I believe that praying is helpful in protecting me from COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB6,I believe that the government restrictions is helpful to prevent COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB7,I believe that the information regarding COVID-19 is helpful for preventing COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB8,I believe that respecting the rules and regulations set by the government is helpful for preventing COVID-19,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
CB9,I believe that washing my hands after coughing or sneezing will protect myself and my family,likert,Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree,0|1|2|3|4,no,150px,adherence,1,
,,,,,,,,,
