item_name,text,type,answers,values,mq_social,mq_general,optional,btn_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,instruct,,,,,,,
MQ1,"I obtain news regarding current affairs from Facebook ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ2,"I obtain news regarding current affairs from Twitter ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ3,I obtain news regarding current affairs from Snapchat,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ4,I obtain news regarding current affairs from WhatsApp,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ5,"I obtain news regarding current affairs from Instagram ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ6,I obtain news regarding current affairs from other another social media application,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ6_other,"If you agreed, please specify which application(s)",text,,,,,yes,,
MQ7,I check the governmental websites for infromation regarding current affairs (i.e. www.gov.uk),likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ8,"I share information regarding current affairs on Facebook ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ9,"I share information regarding current affairs on Twitter ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ10,"I share information regarding current affairs on Snapchat ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ11,"I share information regarding current affairs on WhatsApp ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ12,"I share information regarding current affairs on Instagram ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ13,I share information regarding current affairs on another social media application,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
mq13_other,"If you agreed, please specify which application(s)",text,,,,,yes,,
MQ14,"I rely on my family/friends to post about current affairs for information ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
MQ15,"I obtain news regarding current affairs online from bbc.co.uk ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ16,I obtain news regarding current affairs online from the thedailymail.co.uk,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ17,I obtain news regarding current affairs online from theguardian.com,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ18,I obtain news regarding current affairs online from express.co.uk,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ19,"I obtain news regarding current affairs online from thesun.co.uk ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ20,I obtain news regarding current affairsonline from other mainstream news outlets,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
mq20_other,"If you agreed, please specify which outlet(s)",text,,,,,yes,,
MQ21,I read academic publications regarding current affairs,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ22,I obtain news regarding current affairs from newspapers,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
MQ22_other,"If you agreed, please specify which newspaper",text,,,,,yes,,
,,,,,,,,,
