item_name,text,type,answers,values,btn_width,score:extraversion,score:friendliness,score:gregariousness,score:assertiveness,score:activity_level,score:excitement_seeking,score:cheerfulness,shuffle_question,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Please answer these statements honestly and accurately to best describe you:</span></span>,instruct,,,,,,,,,,,,
IPIPNEO_E1_1,Make friends easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_E1_2,Feel comfortable around people.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_E1_3,Avoid contacts with others,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_E1_4,"Keep others at a distance. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_E1_5,Warm up quickly to others.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_E1_6,Act comfortably with others.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_E1_7,Cheer people up.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_E1_8,Am hard to get to know.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_E1_9,"Often feel uncomfortable around others. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_E1_10,"Am not really interested in others. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_E2_1,Love large parties.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,1,,,,,yes,
IPIPNEO_E2_2,Talk to a lot of different people at parties.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,1,,,,,yes,
IPIPNEO_E2_3,Prefer to be alone.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,r1,,,,,yes,
IPIPNEO_E2_4,Avoid crowds.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,r1,,,,,yes,
IPIPNEO_E2_5,"Enjoy being part of a group. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,1,,,,,yes,
IPIPNEO_E2_6,Involve others in what I am doing.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,1,,,,,yes,
IPIPNEO_E2_7,"Love surprise parties. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,1,,,,,yes,
IPIPNEO_E2_8,"Want to be left alone. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,r1,,,,,yes,
IPIPNEO_E2_9,"Don’t like crowded events. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,r1,,,,,yes,
IPIPNEO_E2_10,"Seek quiet. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,r1,,,,,yes,
IPIPNEO_E3_1,Take charge.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,1,,,,yes,
IPIPNEO_E3_2,Try to lead others.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,1,,,,yes,
IPIPNEO_E3_3,"Take control of things. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,1,,,,yes,
IPIPNEO_E3_4,"Wait for others to lead the way. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,r1,,,,yes,
IPIPNEO_E3_5,"Can talk others into doing things. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,1,,,,yes,
IPIPNEO_E3_6,"Seek to influence others. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,1,,,,yes,
IPIPNEO_E3_7,Keep in the background.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,r1,,,,yes,
IPIPNEO_E3_8,Have little to say.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,r1,,,,yes,
IPIPNEO_E3_9,Don't like to draw attention to myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,r1,,,,yes,
IPIPNEO_E3_10,"Hold back my opinions. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,r1,,,,yes,
IPIPNEO_E4_1,Am always busy.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,1,,,yes,
IPIPNEO_E4_2,"Am always on the go. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,1,,,yes,
IPIPNEO_E4_3,Do a lot in my spare time.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,1,,,yes,
IPIPNEO_E4_4,"Like to take it easy. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,r1,,,yes,
IPIPNEO_E4_5,Can manage many things at the same time.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,1,,,yes,
IPIPNEO_E4_6,React quicky.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,1,,,yes,
