item_name,text,type,answers,values,btn_width,score:neuroticism,score:anxiety,score:anger,score:depression,score:self_consciousness,score:immoderation,score:vulnerability,shuffle_question,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Please answer these statements honestly and accurately to best describe you:</span></span>,instruct,,,,,,,,,,,,
IPIPNEO_N1_1,Worry about things.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_N1_2,Fear for the worst.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_N1_3,Am afraid of many things.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_N1_4,Get stressed out easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_N1_5,Get caught up in my problems.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,1,,,,,,yes,
IPIPNEO_N1_6,Am not easily bothered by things.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_N1_7,Am relaxed most of the time.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_N1_8,Am not easily disturbed by events.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_N1_9,Don't worry about things that have already happened.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_N1_10,Adapt easily to new situations.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,r1,,,,,,yes,
IPIPNEO_N2_1,Get angry easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|6,100px,1,,1,,,,,yes,
IPIPNEO_N2_2,Get irritated easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|7,100px,1,,1,,,,,yes,
IPIPNEO_N2_3,Lose my temper.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|8,100px,1,,1,,,,,yes,
IPIPNEO_N2_4,Am not easily annoyed.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|9,100px,r1,,r1,,,,,yes,
IPIPNEO_N2_5,Get upset easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|10,100px,1,,1,,,,,yes,
IPIPNEO_N2_6,Am often in a bad mood.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|11,100px,1,,1,,,,,yes,
IPIPNEO_N2_7,Rarely get irritated.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|12,100px,r1,,r1,,,,,yes,
IPIPNEO_N2_8,Seldom get mad.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|13,100px,r1,,r1,,,,,yes,
IPIPNEO_N2_9,Keep my cool.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|14,100px,r1,,r1,,,,,yes,
IPIPNEO_N2_10,Rarely complain.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|15,100px,r1,,r1,,,,,yes,
IPIPNEO_N3_1,Often feel blue.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|16,100px,1,,,1,,,,yes,
IPIPNEO_N3_2,Dislike myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|17,100px,1,,,1,,,,yes,
IPIPNEO_N3_3,Am often down in the dumps.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|18,100px,1,,,1,,,,yes,
IPIPNEO_N3_4,Feel comfortable with myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|19,100px,r1,,,r1,,,,yes,
IPIPNEO_N3_5,Have a low opinion of myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|20,100px,1,,,1,,,,yes,
IPIPNEO_N3_6,Have frequent mood swings.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|21,100px,1,,,1,,,,yes,
IPIPNEO_N3_7,Feel desperate.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|22,100px,1,,,1,,,,yes,
IPIPNEO_N3_8,Feel that my life lacks direction.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|23,100px,1,,,1,,,,yes,
IPIPNEO_N3_9,Seldom feel blue.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|24,100px,r1,,,r1,,,,yes,
IPIPNEO_N3_10,Am very pleased with myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|25,100px,r1,,,r1,,,,yes,
IPIPNEO_N4_1,Find it difficult to approach others.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|26,100px,1,,,,1,,,yes,
IPIPNEO_N4_2,Am afraid to draw attention to myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|27,100px,1,,,,1,,,yes,
IPIPNEO_N4_3,Only feel comfortable with friends.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|28,100px,1,,,,1,,,yes,
IPIPNEO_N4_4,Am not bothered by difficult social situations.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|29,100px,r1,,,,r1,,,yes,
IPIPNEO_N4_5,Am easily intimidated.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|30,100px,1,,,,1,,,yes,
